
10/23/2019 11:58:12 PM| Joseph Tiotangco | 1 | LOG-IN 
10/24/2019 12:21:33 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 12:21:33 AM| Joseph Tiotangco| 1| LOG-OUT 
10/24/2019 12:23:14 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 12:41:13 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 12:46:04 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 12:47:16 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 9:30:42 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 9:48:18 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 9:54:18 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 9:55:10 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 9:57:55 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 11:53:23 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 11:59:25 AM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 12:00:12 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 12:10:04 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:01:52 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:05:01 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:07:00 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:20:20 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:29:03 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:34:47 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:36:15 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:36:15 PM| Joseph Tiotangco| 1| LOG-OUT 
10/24/2019 2:57:51 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:59:00 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 2:59:00 PM| Joseph Tiotangco| 1| ADD NEW COLLECTION:2 TORRE-25:1000
10/24/2019 2:59:00 PM| Joseph Tiotangco| 1| UPDATED COLLECTION:1 TORRE-26:100
10/24/2019 3:01:59 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 3:03:04 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 3:03:04 PM| Joseph Tiotangco| 1| ADD NEW COLLECTION:TORRE MALATE-25:0
10/24/2019 3:03:04 PM| Joseph Tiotangco| 1| UPDATED COLLECTION:TLDC-26:100
10/24/2019 3:06:16 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 3:06:16 PM| Joseph Tiotangco| 1| ADD NEW COLLECTION:1 TORRE-25:1000
10/24/2019 3:16:55 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 3:16:55 PM| Joseph Tiotangco| 1| LOG-OUT 
10/24/2019 4:12:19 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 4:14:03 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 4:14:03 PM| Joseph Tiotangco | 1 | GENERATE PER DATE REPORT
10/24/2019 4:14:03 PM| Joseph Tiotangco | 1 | GENERATE PER DATE REPORT
10/24/2019 4:14:03 PM| Joseph Tiotangco | 1 | GENERATE PER DATE REPORT
10/24/2019 4:14:03 PM| Joseph Tiotangco | 1 | GENERATE PER DATE REPORT
10/24/2019 5:08:20 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 5:08:59 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 5:12:03 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 5:13:40 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 5:15:15 PM| Joseph Tiotangco| 1| LOG-IN 
10/24/2019 5:17:16 PM| Joseph Tiotangco| 1| LOG-IN 
